,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
3741,1027.978,125.662,84,169,1385.655,2055.944,1385.462,2056.104,122.527,42.835,30.556,52.207,45.377,1373.113,2073.967,48.672,30.829
3742,938.58,120,80,170,1387.125,2095.021,1386.892,2095.295,117.746,36.573,32.676,112.385,37.101,1388.01,2075.68,94.5,33.425
3743,839.271,98.734,79,162,1385.179,2193.802,1385.354,2193.65,108.774,37.694,28.349,96.989,38.596,1379.962,2175.679,99.964,29.292
3744,840.063,108.46,76,167,1380.368,2273.41,1380.371,2273.991,106.754,34.01,31.449,63.257,34.772,1376.366,2256.501,107.186,31
3745,831.619,96.64,66,162,1382.395,2373.966,1382.503,2373.547,109.777,39.775,26.621,80.036,39.475,1375.853,2391.946,71.801,26.025
3746,887.533,98.022,75,162,1375.014,2482.787,1374.961,2482.739,113.946,40.482,27.914,82.308,41.045,1369.859,2462.665,105.486,27.505
3747,1313.883,99.464,81,165,1388.639,2601.526,1388.615,2601.665,136.634,47.898,34.926,90.094,49.629,1383.387,2625.678,80.668,35.994
3748,1309.544,108.029,83,168,1388.721,2667.312,1388.663,2668.091,138.388,51.179,32.579,80.408,51.718,1378.592,2691.431,72.465,33.117
3749,1357.395,116.595,88,174,1382.852,2713.21,1383.185,2713.608,138.713,46.92,36.835,46.303,49.925,1360.784,2724.822,34.944,37.039
3750,707.974,128.168,81,178,294.886,1779.663,294.818,1779.566,97.579,31.247,28.849,156.888,32.11,279.109,1782.53,4.282,28.026
3751,254.59,109.545,84,171,308.203,1761.151,308.146,1761.04,59.45,19.768,16.398,123.445,20.344,301.712,1753.934,126.098,16.676
3752,943.154,129.393,82,177,334.325,1759.427,334.3,1759.408,111.415,35.26,34.057,106.828,36.065,323.801,1744.687,121.804,34.101
3753,143.202,109.508,82,167,364.82,1746.331,364.837,1746.265,44.539,13.852,13.163,51.255,14.458,357.533,1747.941,18.65,13.161
3754,197.972,109.35,82,170,360.025,1762.148,359.972,1762.132,51.959,17.389,14.496,61.076,17.943,355.992,1770.886,66.371,14.48
3755,227.146,102.423,82,165,351.614,1780.924,351.59,1780.856,55.614,18.385,15.731,66.692,19.621,348.458,1789.893,69.034,16.342
3756,696.099,124.658,82,175,327.397,1792.365,327.406,1792.352,95.717,31.405,28.221,126.435,31.85,315.753,1781.502,136.089,28.691
3757,279.513,105.386,83,159,352.535,1800.397,352.514,1800.439,61.305,19.652,18.11,148.026,20.377,342.979,1796.399,151.928,17.979
